#x	 y	 z	 permeability	 group
727.273	272.727	272.727	1	1
818.182	272.727	272.727	1	1
909.091	272.727	272.727	1	1
90.9091	363.636	272.727	1	1
181.818	363.636	272.727	1	1
272.727	363.636	272.727	1	1
363.636	363.636	272.727	1	1
454.545	363.636	272.727	1	1
545.455	363.636	272.727	1	1
636.364	363.636	272.727	1	1
727.273	363.636	272.727	1	1
818.182	363.636	272.727	1	1
909.091	363.636	272.727	1	1
90.9091	454.545	272.727	1	1
181.818	454.545	272.727	1	1
272.727	454.545	272.727	1	1
363.636	454.545	272.727	1	1
454.545	454.545	272.727	1	1
545.455	454.545	272.727	1	1
636.364	454.545	272.727	1	1
727.273	454.545	272.727	1	1
818.182	454.545	272.727	1	1
909.091	454.545	272.727	1	1
90.9091	545.455	272.727	1	1
181.818	545.455	272.727	1	1
272.727	545.455	272.727	1	1
363.636	545.455	272.727	1	1
454.545	545.455	272.727	1	1
545.455	545.455	272.727	1	1
636.364	545.455	272.727	1	1
727.273	545.455	272.727	1	1
818.182	545.455	272.727	1	1
909.091	545.455	272.727	1	1
90.9091	636.364	272.727	1	1
181.818	636.364	272.727	1	1
272.727	636.364	272.727	1	1
363.636	636.364	272.727	1	1
454.545	636.364	272.727	1	1
545.455	636.364	272.727	1	1
636.364	636.364	272.727	1	1
727.273	636.364	272.727	1	1
818.182	636.364	272.727	1	1
909.091	636.364	272.727	1	1
90.9091	727.273	272.727	1	1
181.818	727.273	272.727	1	1
272.727	727.273	272.727	1	1
363.636	727.273	272.727	1	1
454.545	727.273	272.727	1	1
545.455	727.273	272.727	1	1
636.364	727.273	272.727	1	1
727.273	727.273	272.727	1	1
818.182	727.273	272.727	1	1
909.091	727.273	272.727	1	1
90.9091	818.182	272.727	1	1
181.818	818.182	272.727	1	1
272.727	818.182	272.727	1	1
363.636	818.182	272.727	1	1
454.545	818.182	272.727	1	1
545.455	818.182	272.727	1	1
636.364	818.182	272.727	1	1
727.273	818.182	272.727	1	1
818.182	818.182	272.727	1	1
909.091	818.182	272.727	1	1
90.9091	909.091	272.727	1	1
181.818	909.091	272.727	1	1
272.727	909.091	272.727	1	1
363.636	909.091	272.727	1	1
454.545	909.091	272.727	1	1
545.455	909.091	272.727	1	1
636.364	909.091	272.727	1	1
727.273	909.091	272.727	1	1
818.182	909.091	272.727	1	1
909.091	909.091	272.727	1	1
90.9091	90.9091	363.636	1	1
181.818	90.9091	363.636	1	1
272.727	90.9091	363.636	1	1
363.636	90.9091	363.636	1	1
454.545	90.9091	363.636	1	1
545.455	90.9091	363.636	1	1
636.364	90.9091	363.636	1	1
727.273	90.9091	363.636	1	1
818.182	90.9091	363.636	1	1
909.091	90.9091	363.636	1	1
90.9091	181.818	363.636	1	1
181.818	181.818	363.636	1	1
272.727	181.818	363.636	1	1
363.636	181.818	363.636	1	1
454.545	181.818	363.636	1	1
545.455	181.818	363.636	1	1
636.364	181.818	363.636	1	1
727.273	181.818	363.636	1	1
818.182	181.818	363.636	1	1
909.091	181.818	363.636	1	1
90.9091	272.727	363.636	1	1
181.818	272.727	363.636	1	1
272.727	272.727	363.636	1	1
363.636	272.727	363.636	1	1
454.545	272.727	363.636	1	1
545.455	272.727	363.636	1	1
636.364	272.727	363.636	1	1
727.273	272.727	363.636	1	1
818.182	272.727	363.636	1	1
909.091	272.727	363.636	1	1
90.9091	363.636	363.636	1	1
181.818	363.636	363.636	1	1
272.727	363.636	363.636	1	1
363.636	363.636	363.636	1	1
454.545	363.636	363.636	1	1
545.455	363.636	363.636	1	1
636.364	363.636	363.636	1	1
727.273	363.636	363.636	1	1
818.182	363.636	363.636	1	1
909.091	363.636	363.636	1	1
90.9091	454.545	363.636	1	1
181.818	454.545	363.636	1	1
272.727	454.545	363.636	1	1
363.636	454.545	363.636	1	1
454.545	454.545	363.636	1	1
545.455	454.545	363.636	1	1
636.364	454.545	363.636	1	1
727.273	454.545	363.636	1	1
818.182	454.545	363.636	1	1
909.091	454.545	363.636	1	1
90.9091	545.455	363.636	1	1
181.818	545.455	363.636	1	1
272.727	545.455	363.636	1	1
363.636	545.455	363.636	1	1
454.545	545.455	363.636	1	1
545.455	545.455	363.636	1	1
636.364	545.455	363.636	1	1
727.273	545.455	363.636	1	1
818.182	545.455	363.636	1	1
909.091	545.455	363.636	1	1
90.9091	636.364	363.636	1	1
181.818	636.364	363.636	1	1
272.727	636.364	363.636	1	1
363.636	636.364	363.636	1	1
454.545	636.364	363.636	1	1
545.455	636.364	363.636	1	1
636.364	636.364	363.636	1	1
727.273	636.364	363.636	1	1
818.182	636.364	363.636	1	1
909.091	636.364	363.636	1	1
90.9091	727.273	363.636	1	1
181.818	727.273	363.636	1	1
272.727	727.273	363.636	1	1
363.636	727.273	363.636	1	1
454.545	727.273	363.636	1	1
545.455	727.273	363.636	1	1
636.364	727.273	363.636	1	1
727.273	727.273	363.636	1	1
818.182	727.273	363.636	1	1
909.091	727.273	363.636	1	1
90.9091	818.182	363.636	1	1
181.818	818.182	363.636	1	1
272.727	818.182	363.636	1	1
363.636	818.182	363.636	1	1
454.545	818.182	363.636	1	1
545.455	818.182	363.636	1	1
636.364	818.182	363.636	1	1
727.273	818.182	363.636	1	1
818.182	818.182	363.636	1	1
909.091	818.182	363.636	1	1
90.9091	909.091	363.636	1	1
181.818	909.091	363.636	1	1
272.727	909.091	363.636	1	1
363.636	909.091	363.636	1	1
454.545	909.091	363.636	1	1
545.455	909.091	363.636	1	1
636.364	909.091	363.636	1	1
727.273	909.091	363.636	1	1
818.182	909.091	363.636	1	1
909.091	909.091	363.636	1	1
90.9091	90.9091	454.545	1	1
181.818	90.9091	454.545	1	1
272.727	90.9091	454.545	1	1
363.636	90.9091	454.545	1	1
454.545	90.9091	454.545	1	1
545.455	90.9091	454.545	1	1
636.364	90.9091	454.545	1	1
727.273	90.9091	454.545	1	1
818.182	90.9091	454.545	1	1
909.091	90.9091	454.545	1	1
90.9091	181.818	454.545	1	1
181.818	181.818	454.545	1	1
272.727	181.818	454.545	1	1
363.636	181.818	454.545	1	1
454.545	181.818	454.545	1	1
545.455	181.818	454.545	1	1
636.364	181.818	454.545	1	1
727.273	181.818	454.545	1	1
818.182	181.818	454.545	1	1
909.091	181.818	454.545	1	1
90.9091	272.727	454.545	1	1
181.818	272.727	454.545	1	1
272.727	272.727	454.545	1	1
363.636	272.727	454.545	1	1
454.545	272.727	454.545	1	1
545.455	272.727	454.545	1	1
636.364	272.727	454.545	1	1
727.273	272.727	454.545	1	1
818.182	272.727	454.545	1	1
909.091	272.727	454.545	1	1
90.9091	363.636	454.545	1	1
181.818	363.636	454.545	1	1
272.727	363.636	454.545	1	1
363.636	363.636	454.545	1	1
454.545	363.636	454.545	1	1
545.455	363.636	454.545	1	1
636.364	363.636	454.545	1	1
727.273	363.636	454.545	1	1
818.182	363.636	454.545	1	1
909.091	363.636	454.545	1	1
90.9091	454.545	454.545	1	1
181.818	454.545	454.545	1	1
272.727	454.545	454.545	1	1
363.636	454.545	454.545	1	1
454.545	454.545	454.545	1	1
545.455	454.545	454.545	1	1
636.364	454.545	454.545	1	1
727.273	454.545	454.545	1	1
818.182	454.545	454.545	1	1
909.091	454.545	454.545	1	1
90.9091	545.455	454.545	1	1
181.818	545.455	454.545	1	1
272.727	545.455	454.545	1	1
363.636	545.455	454.545	1	1
454.545	545.455	454.545	1	1
545.455	545.455	454.545	1	1
636.364	545.455	454.545	1	1
727.273	545.455	454.545	1	1
818.182	545.455	454.545	1	1
909.091	545.455	454.545	1	1
90.9091	636.364	454.545	1	1
181.818	636.364	454.545	1	1
272.727	636.364	454.545	1	1
363.636	636.364	454.545	1	1
454.545	636.364	454.545	1	1
545.455	636.364	454.545	1	1
636.364	636.364	454.545	1	1
727.273	636.364	454.545	1	1
818.182	636.364	454.545	1	1
909.091	636.364	454.545	1	1
90.9091	727.273	454.545	1	1
181.818	727.273	454.545	1	1
272.727	727.273	454.545	1	1
363.636	727.273	454.545	1	1
454.545	727.273	454.545	1	1
545.455	727.273	454.545	1	1
636.364	727.273	454.545	1	1
727.273	727.273	454.545	1	1
818.182	727.273	454.545	1	1
909.091	727.273	454.545	1	1
90.9091	818.182	454.545	1	1
181.818	818.182	454.545	1	1
272.727	818.182	454.545	1	1
363.636	818.182	454.545	1	1
454.545	818.182	454.545	1	1
545.455	818.182	454.545	1	1
636.364	818.182	454.545	1	1
727.273	818.182	454.545	1	1
818.182	818.182	454.545	1	1
909.091	818.182	454.545	1	1
90.9091	909.091	454.545	1	1
181.818	909.091	454.545	1	1
272.727	909.091	454.545	1	1
363.636	909.091	454.545	1	1
454.545	909.091	454.545	1	1
545.455	909.091	454.545	1	1
636.364	909.091	454.545	1	1
727.273	909.091	454.545	1	1
818.182	909.091	454.545	1	1
909.091	909.091	454.545	1	1
90.9091	90.9091	545.455	1	1
181.818	90.9091	545.455	1	1
272.727	90.9091	545.455	1	1
363.636	90.9091	545.455	1	1
454.545	90.9091	545.455	1	1
545.455	90.9091	545.455	1	1
636.364	90.9091	545.455	1	1
727.273	90.9091	545.455	1	1
818.182	90.9091	545.455	1	1
909.091	90.9091	545.455	1	1
90.9091	181.818	545.455	1	1
181.818	181.818	545.455	1	1
272.727	181.818	545.455	1	1
363.636	181.818	545.455	1	1
454.545	181.818	545.455	1	1
545.455	181.818	545.455	1	1
636.364	181.818	545.455	1	1
727.273	181.818	545.455	1	1
818.182	181.818	545.455	1	1
909.091	181.818	545.455	1	1
90.9091	272.727	545.455	1	1
181.818	272.727	545.455	1	1
272.727	272.727	545.455	1	1
363.636	272.727	545.455	1	1
454.545	272.727	545.455	1	1
545.455	272.727	545.455	1	1
636.364	272.727	545.455	1	1
727.273	272.727	545.455	1	1
818.182	272.727	545.455	1	1
909.091	272.727	545.455	1	1
90.9091	363.636	545.455	1	1
181.818	363.636	545.455	1	1
272.727	363.636	545.455	1	1
363.636	363.636	545.455	1	1
454.545	363.636	545.455	1	1
545.455	363.636	545.455	1	1
636.364	363.636	545.455	1	1
727.273	363.636	545.455	1	1
818.182	363.636	545.455	1	1
909.091	363.636	545.455	1	1
90.9091	454.545	545.455	1	1
181.818	454.545	545.455	1	1
272.727	454.545	545.455	1	1
363.636	454.545	545.455	1	1
454.545	454.545	545.455	1	1
545.455	454.545	545.455	1	1
636.364	454.545	545.455	1	1
727.273	454.545	545.455	1	1
818.182	454.545	545.455	1	1
909.091	454.545	545.455	1	1
90.9091	545.455	545.455	1	1
181.818	545.455	545.455	1	1
272.727	545.455	545.455	1	1
363.636	545.455	545.455	1	1
454.545	545.455	545.455	1	1
545.455	545.455	545.455	1	1
636.364	545.455	545.455	1	1
727.273	545.455	545.455	1	1
818.182	545.455	545.455	1	1
909.091	545.455	545.455	1	1
90.9091	636.364	545.455	1	1
181.818	636.364	545.455	1	1
272.727	636.364	545.455	1	1
363.636	636.364	545.455	1	1
454.545	636.364	545.455	1	1
545.455	636.364	545.455	1	1
636.364	636.364	545.455	1	1
727.273	636.364	545.455	1	1
818.182	636.364	545.455	1	1
909.091	636.364	545.455	1	1
90.9091	727.273	545.455	1	1
181.818	727.273	545.455	1	1
272.727	727.273	545.455	1	1
363.636	727.273	545.455	1	1
454.545	727.273	545.455	1	1
545.455	727.273	545.455	1	1
636.364	727.273	545.455	1	1
727.273	727.273	545.455	1	1
818.182	727.273	545.455	1	1
909.091	727.273	545.455	1	1
90.9091	818.182	545.455	1	1
181.818	818.182	545.455	1	1
272.727	818.182	545.455	1	1
363.636	818.182	545.455	1	1
454.545	818.182	545.455	1	1
545.455	818.182	545.455	1	1
636.364	818.182	545.455	1	1
727.273	818.182	545.455	1	1
818.182	818.182	545.455	1	1
909.091	818.182	545.455	1	1
90.9091	909.091	545.455	1	1
181.818	909.091	545.455	1	1
272.727	909.091	545.455	1	1
363.636	909.091	545.455	1	1
454.545	909.091	545.455	1	1
545.455	909.091	545.455	1	1
636.364	909.091	545.455	1	1
727.273	909.091	545.455	1	1
818.182	909.091	545.455	1	1
909.091	909.091	545.455	1	1
90.9091	90.9091	636.364	1	1
181.818	90.9091	636.364	1	1
272.727	90.9091	636.364	1	1
363.636	90.9091	636.364	1	1
454.545	90.9091	636.364	1	1
545.455	90.9091	636.364	1	1
636.364	90.9091	636.364	1	1
727.273	90.9091	636.364	1	1
818.182	90.9091	636.364	1	1
909.091	90.9091	636.364	1	1
90.9091	181.818	636.364	1	1
181.818	181.818	636.364	1	1
272.727	181.818	636.364	1	1
363.636	181.818	636.364	1	1
454.545	181.818	636.364	1	1
545.455	181.818	636.364	1	1
636.364	181.818	636.364	1	1
727.273	181.818	636.364	1	1
818.182	181.818	636.364	1	1
909.091	181.818	636.364	1	1
90.9091	272.727	636.364	1	1
181.818	272.727	636.364	1	1
272.727	272.727	636.364	1	1
363.636	272.727	636.364	1	1
454.545	272.727	636.364	1	1
545.455	272.727	636.364	1	1
636.364	272.727	636.364	1	1
727.273	272.727	636.364	1	1
818.182	272.727	636.364	1	1
909.091	272.727	636.364	1	1
90.9091	363.636	636.364	1	1
181.818	363.636	636.364	1	1
272.727	363.636	636.364	1	1
363.636	363.636	636.364	1	1
454.545	363.636	636.364	1	1
545.455	363.636	636.364	1	1
636.364	363.636	636.364	1	1
727.273	363.636	636.364	1	1
818.182	363.636	636.364	1	1
909.091	363.636	636.364	1	1
90.9091	454.545	636.364	1	1
181.818	454.545	636.364	1	1
272.727	454.545	636.364	1	1
363.636	454.545	636.364	1	1
454.545	454.545	636.364	1	1
545.455	454.545	636.364	1	1
636.364	454.545	636.364	1	1
727.273	454.545	636.364	1	1
818.182	454.545	636.364	1	1
909.091	454.545	636.364	1	1
90.9091	545.455	636.364	1	1
181.818	545.455	636.364	1	1
272.727	545.455	636.364	1	1
363.636	545.455	636.364	1	1
454.545	545.455	636.364	1	1
545.455	545.455	636.364	1	1
636.364	545.455	636.364	1	1
727.273	545.455	636.364	1	1
818.182	545.455	636.364	1	1
909.091	545.455	636.364	1	1
90.9091	636.364	636.364	1	1
181.818	636.364	636.364	1	1
272.727	636.364	636.364	1	1
363.636	636.364	636.364	1	1
454.545	636.364	636.364	1	1
545.455	636.364	636.364	1	1
636.364	636.364	636.364	1	1
727.273	636.364	636.364	1	1
818.182	636.364	636.364	1	1
909.091	636.364	636.364	1	1
90.9091	727.273	636.364	1	1
181.818	727.273	636.364	1	1
272.727	727.273	636.364	1	1
363.636	727.273	636.364	1	1
454.545	727.273	636.364	1	1
545.455	727.273	636.364	1	1
636.364	727.273	636.364	1	1
727.273	727.273	636.364	1	1
818.182	727.273	636.364	1	1
909.091	727.273	636.364	1	1
90.9091	818.182	636.364	1	1
181.818	818.182	636.364	1	1
272.727	818.182	636.364	1	1
363.636	818.182	636.364	1	1
454.545	818.182	636.364	1	1
545.455	818.182	636.364	1	1
636.364	818.182	636.364	1	1
727.273	818.182	636.364	1	1
818.182	818.182	636.364	1	1
909.091	818.182	636.364	1	1
90.9091	909.091	636.364	1	1
181.818	909.091	636.364	1	1
272.727	909.091	636.364	1	1
363.636	909.091	636.364	1	1
454.545	909.091	636.364	1	1
545.455	909.091	636.364	1	1
636.364	909.091	636.364	1	1
727.273	909.091	636.364	1	1
818.182	909.091	636.364	1	1
909.091	909.091	636.364	1	1
90.9091	90.9091	727.273	1	1
181.818	90.9091	727.273	1	1
272.727	90.9091	727.273	1	1
363.636	90.9091	727.273	1	1
454.545	90.9091	727.273	1	1
545.455	90.9091	727.273	1	1
636.364	90.9091	727.273	1	1
727.273	90.9091	727.273	1	1
818.182	90.9091	727.273	1	1
909.091	90.9091	727.273	1	1
90.9091	181.818	727.273	1	1
181.818	181.818	727.273	1	1
272.727	181.818	727.273	1	1
363.636	181.818	727.273	1	1
454.545	181.818	727.273	1	1
545.455	181.818	727.273	1	1
636.364	181.818	727.273	1	1
727.273	181.818	727.273	1	1
818.182	181.818	727.273	1	1
909.091	181.818	727.273	1	1
90.9091	272.727	727.273	1	1
181.818	272.727	727.273	1	1
272.727	272.727	727.273	1	1
363.636	272.727	727.273	1	1
454.545	272.727	727.273	1	1
545.455	272.727	727.273	1	1
636.364	272.727	727.273	1	1
727.273	272.727	727.273	1	1
818.182	272.727	727.273	1	1
909.091	272.727	727.273	1	1
90.9091	363.636	727.273	1	1
181.818	363.636	727.273	1	1
272.727	363.636	727.273	1	1
363.636	363.636	727.273	1	1
454.545	363.636	727.273	1	1
545.455	363.636	727.273	1	1
636.364	363.636	727.273	1	1
727.273	363.636	727.273	1	1
818.182	363.636	727.273	1	1
909.091	363.636	727.273	1	1
90.9091	454.545	727.273	1	1
181.818	454.545	727.273	1	1
272.727	454.545	727.273	1	1
363.636	454.545	727.273	1	1
454.545	454.545	727.273	1	1
545.455	454.545	727.273	1	1
636.364	454.545	727.273	1	1
727.273	454.545	727.273	1	1
818.182	454.545	727.273	1	1
909.091	454.545	727.273	1	1
90.9091	545.455	727.273	1	1
181.818	545.455	727.273	1	1
272.727	545.455	727.273	1	1
363.636	545.455	727.273	1	1
454.545	545.455	727.273	1	1
545.455	545.455	727.273	1	1
636.364	545.455	727.273	1	1
727.273	545.455	727.273	1	1
818.182	545.455	727.273	1	1
909.091	545.455	727.273	1	1
90.9091	636.364	727.273	1	1
181.818	636.364	727.273	1	1
272.727	636.364	727.273	1	1
363.636	636.364	727.273	1	1
454.545	636.364	727.273	1	1
545.455	636.364	727.273	1	1
636.364	636.364	727.273	1	1
727.273	636.364	727.273	1	1
818.182	636.364	727.273	1	1
909.091	636.364	727.273	1	1
90.9091	727.273	727.273	1	1
181.818	727.273	727.273	1	1
272.727	727.273	727.273	1	1
363.636	727.273	727.273	1	1
454.545	727.273	727.273	1	1
545.455	727.273	727.273	1	1
636.364	727.273	727.273	1	1
727.273	727.273	727.273	1	1
818.182	727.273	727.273	1	1
909.091	727.273	727.273	1	1
90.9091	818.182	727.273	1	1
181.818	818.182	727.273	1	1
272.727	818.182	727.273	1	1
363.636	818.182	727.273	1	1
454.545	818.182	727.273	1	1
545.455	818.182	727.273	1	1
636.364	818.182	727.273	1	1
727.273	818.182	727.273	1	1
818.182	818.182	727.273	1	1
909.091	818.182	727.273	1	1
90.9091	909.091	727.273	1	1
181.818	909.091	727.273	1	1
272.727	909.091	727.273	1	1
363.636	909.091	727.273	1	1
454.545	909.091	727.273	1	1
545.455	909.091	727.273	1	1
636.364	909.091	727.273	1	1
727.273	909.091	727.273	1	1
818.182	909.091	727.273	1	1
909.091	909.091	727.273	1	1
90.9091	90.9091	818.182	1	1
181.818	90.9091	818.182	1	1
272.727	90.9091	818.182	1	1
363.636	90.9091	818.182	1	1
454.545	90.9091	818.182	1	1
545.455	90.9091	818.182	1	1
636.364	90.9091	818.182	1	1
727.273	90.9091	818.182	1	1
818.182	90.9091	818.182	1	1
909.091	90.9091	818.182	1	1
90.9091	181.818	818.182	1	1
181.818	181.818	818.182	1	1
272.727	181.818	818.182	1	1
363.636	181.818	818.182	1	1
454.545	181.818	818.182	1	1
545.455	181.818	818.182	1	1
636.364	181.818	818.182	1	1
727.273	181.818	818.182	1	1
818.182	181.818	818.182	1	1
909.091	181.818	818.182	1	1
90.9091	272.727	818.182	1	1
181.818	272.727	818.182	1	1
272.727	272.727	818.182	1	1
363.636	272.727	818.182	1	1
454.545	272.727	818.182	1	1
545.455	272.727	818.182	1	1
636.364	272.727	818.182	1	1
727.273	272.727	818.182	1	1
818.182	272.727	818.182	1	1
909.091	272.727	818.182	1	1
90.9091	363.636	818.182	1	1
181.818	363.636	818.182	1	1
272.727	363.636	818.182	1	1
363.636	363.636	818.182	1	1
454.545	363.636	818.182	1	1
545.455	363.636	818.182	1	1
636.364	363.636	818.182	1	1
727.273	363.636	818.182	1	1
818.182	363.636	818.182	1	1
909.091	363.636	818.182	1	1
90.9091	454.545	818.182	1	1
181.818	454.545	818.182	1	1
272.727	454.545	818.182	1	1
363.636	454.545	818.182	1	1
454.545	454.545	818.182	1	1
545.455	454.545	818.182	1	1
636.364	454.545	818.182	1	1
727.273	454.545	818.182	1	1
818.182	454.545	818.182	1	1
909.091	454.545	818.182	1	1
90.9091	545.455	818.182	1	1
181.818	545.455	818.182	1	1
272.727	545.455	818.182	1	1
363.636	545.455	818.182	1	1
454.545	545.455	818.182	1	1
